Country Code,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,0.309691253,0.30969023,0.311387821,0.313085411,0.311566274,0.310047574,0.316235386,0.322439996,0.32607318,0.321750514,0.268979862,0.234805369,0.228623078,0.222487547,0.222629296,0.221671624,0.212059013,0.227373216,0.229006721,0.245382643,0.24434059,0.255507504,0.245953019,0.240703529,0.248401363,0.23674866,0.246106143,0.249549716,0.251374062
ALB,Albania,0.332968319,0.333486759,0.329979196,0.326025517,0.327192035,0.32810219,0.334199235,0.340497392,0.33836157,0.346079135,0.334606862,0.321928721,0.334582667,0.34770634,0.368126763,0.368592579,0.367913325,0.374308211,0.386646486,0.41035026,0.415638351,0.410071655,0.411254288,0.413735724,0.406808622,0.407429859,0.412305667,0.418176852,0.422698033
DZA,Algeria,0.300271955,0.301322748,0.297806599,0.294599857,0.298484223,0.302521982,0.308477177,0.314742927,0.320063868,0.328818193,0.329631957,0.296402961,0.296485688,0.299256188,0.291904784,0.280815284,0.274026441,0.274329483,0.287144671,0.284460296,0.289123401,0.298651156,0.321144637,0.322282349,0.322472168,0.32552259,0.32964951,0.337037302,0.345662459
AND,Andorra,0.123870385,0.126190937,0.129691691,0.136468003,0.14105993,0.145479248,0.148871624,0.150336805,0.162162413,0.176724784,0.192160917,0.211214481,0.237464636,0.241735244,0.25323202,0.2610418,0.266432849,0.271378045,0.278870171,0.281285637,0.288685609,0.295882125,0.299429169,0.300398545,0.340485667,0.348304805,0.350802167,0.391278637,0.452459321
AGO,Angola,0.190434187,0.190433461,0.189081694,0.187725344,0.188442206,0.18920934,0.197140149,0.205093205,0.217804973,0.217433236,0.208845588,0.186706886,0.189631185,0.196341523,0.203978317,0.189744827,0.187792776,0.200405906,0.209132924,0.216227377,0.211618351,0.239753192,0.242481915,0.25411685,0.257538935,0.260653032,0.267595439,0.2717514,0.272532182
ATG,Antigua and Barbuda,0.457075219,0.45758019,0.458382502,0.45917621,0.460416568,0.462559525,0.463383277,0.466557051,0.469899838,0.471002559,0.484530642,0.463423337,0.466541453,0.473940355,0.476458923,0.486825601,0.48055848,0.488372912,0.482118188,0.456558429,0.463291905,0.455841089,0.43548398,0.44641144,0.446250376,0.445076804,0.441742687,0.444348304,0.448599091
ARG,Argentina,0.380026928,0.383013921,0.377340305,0.373078869,0.37335901,0.374812538,0.348071931,0.32938642,0.339088966,0.342484459,0.365014948,0.34089998,0.35239206,0.345475378,0.341663602,0.35002619,0.35318082,0.347343551,0.336444924,0.328504282,0.331489735,0.367692958,0.371378557,0.374281928,0.37174539,0.376824673,0.371217706,0.368736064,0.375078343
ARM,Armenia,0.37716731,0.373243041,0.364904569,0.372864434,0.379131763,0.381220632,0.389472212,0.40700559,0.41948818,0.406875987,0.42968553,0.412158047,0.419833658,0.437675729,0.426954672,0.428060109,0.428201379,0.438321019,0.454144736,0.467967118,0.475720755,0.48601097,0.484241897,0.495562475,0.50711377,0.501147074,0.500519601,0.498201667,0.500820066
AUS,Australia,0.582921417,0.58607746,0.5879198,0.591909836,0.598855221,0.606940608,0.612457491,0.615178818,0.619959201,0.629011783,0.63382336,0.677540076,0.684576119,0.692451904,0.684060229,0.690946885,0.694581992,0.697986061,0.708496178,0.709691331,0.705987996,0.704927681,0.691018329,0.69571495,0.693411911,0.680580178,0.693952845,0.693145678,0.693309073
AUT,Austria,0.602758221,0.609121625,0.610594536,0.611419103,0.615418251,0.619151218,0.627538455,0.63406871,0.631393728,0.637342201,0.646561203,0.676408219,0.687856706,0.684915661,0.668279735,0.675040552,0.675435335,0.680550954,0.695320675,0.708673327,0.70458014,0.687703238,0.690867434,0.690881034,0.686113409,0.681671964,0.679813781,0.675100335,0.676197628
AZE,Azerbaijan,0.315900099,0.313539995,0.318787885,0.324051853,0.325804149,0.327281693,0.329582039,0.366630761,0.372986304,0.37683518,0.383441158,0.336825495,0.340452751,0.337908971,0.374046297,0.364121493,0.366798274,0.361318035,0.38234754,0.40810487,0.415988836,0.436657583,0.425755058,0.427503307,0.447635668,0.432880649,0.446866032,0.442495168,0.443726743
BHS,Bahamas,0.444217216,0.444673214,0.447692646,0.451057269,0.454718683,0.45935262,0.462772513,0.468243404,0.465273827,0.468504139,0.488672366,0.551040545,0.55537144,0.459107041,0.449398363,0.447449515,0.448141362,0.452618966,0.443511555,0.448619606,0.442852625,0.435843331,0.428752361,0.426135697,0.426754225,0.422160603,0.425368446,0.425723121,0.432598392
BHR,Bahrain,0.38093758,0.381132794,0.385463019,0.390208268,0.393955199,0.399573505,0.414498615,0.427785617,0.423124906,0.423071829,0.433537875,0.490676912,0.504476663,0.449582577,0.455890183,0.453195293,0.459737429,0.463633974,0.464361323,0.48289571,0.479747103,0.469088703,0.461812563,0.463401775,0.469593904,0.498758774,0.518695063,0.528040277,0.526711548
